nodeId,x,y
328,139.911333,35.637489
329,139.913114,35.636210
330,139.913127,35.636214
331,139.913163,35.636245
332,139.913168,35.636258
333,139.918956,35.636313
334,139.918897,35.636285
335,139.918837,35.636294
336,139.918614,35.636464
337,139.917750,35.637175
338,139.917019,35.636568
339,139.916996,35.636549
340,139.916935,35.636551
341,139.915556,35.637656
342,139.915537,35.637686
343,139.915541,35.637755
344,139.915553,35.637789
345,139.916165,35.638299
346,139.911693,35.636038
347,139.911673,35.636039
348,139.911663,35.636042
349,139.910693,35.636812
350,139.910671,35.636835
351,139.910671,35.636940
352,139.912487,35.638447
353,139.915520,35.639690
354,139.915889,35.640000
355,139.914122,35.640000
356,139.915039,35.639289
357,139.914599,35.639899
358,139.914735,35.639528
359,139.914896,35.639663
360,139.914471,35.640000
361,139.915216,35.639933
362,139.915296,35.640000
363,139.915132,35.640000
364,139.911415,35.640000
365,139.911144,35.639773
366,139.911119,35.639759
367,139.911035,35.639759
368,139.911001,35.639772
369,139.910717,35.640000
370,139.916457,35.632328
371,139.916437,35.632312
372,139.916351,35.632309
373,139.916314,35.632329
374,139.915354,35.633097
375,139.915343,35.633108
376,139.915339,35.633144
377,139.915346,35.633159
378,139.917995,35.635369
379,139.918052,35.635390
380,139.918100,35.635384
381,139.919079,35.634622
382,139.919093,35.634590
383,139.919094,35.634563
384,139.919083,35.634534
385,139.916496,35.638589
386,139.918184,35.640000
387,139.916481,35.638564
388,139.916521,35.638570
389,139.917329,35.639245
390,139.916198,35.638327
391,139.915261,35.636227
392,139.915114,35.636093
393,139.914983,35.635990
394,139.914843,35.635856
395,139.914754,35.635782
396,139.914717,35.635675
397,139.914707,35.635590
398,139.914714,35.635550
399,139.914812,35.635561
400,139.914901,35.635540
401,139.914990,35.635512
402,139.915072,35.635506
403,139.915165,35.635512
404,139.915277,35.635550
405,139.915373,35.635599
406,139.915520,35.635725
407,139.915620,35.635801
408,139.915697,35.635835
409,139.915886,35.635892
410,139.915919,35.635905
411,139.916139,35.636026
412,139.916237,35.636209
413,139.916251,35.636387
414,139.916167,35.636552
415,139.916027,35.636662
416,139.915926,35.636717
417,139.915786,35.636763
418,139.915585,35.636814
419,139.915522,35.636837
420,139.915426,35.636875
421,139.915305,35.636947
422,139.915188,35.637042
423,139.915086,35.637135
424,139.915018,35.637182
425,139.914910,35.637231
426,139.914784,35.637248
427,139.914691,35.637239
428,139.914509,35.637161
429,139.914399,35.637076
430,139.914308,35.636994
431,139.914268,35.636954
432,139.914345,35.636884
433,139.914439,35.636789
434,139.914542,35.636708
435,139.914665,35.636613
436,139.914810,35.636501
437,139.914896,35.636419
438,139.915018,35.636412
439,139.915116,35.636353
440,139.915212,35.636288
