nodeIdOrg,nodeIdDest,distance,highway,oneway,bridge,width
318,319,4.055792,residential,,,
319,320,32.684658,residential,,,
321,322,16.898087,residential,,,
323,324,50.748621,unclassified,,,
324,325,52.222775,unclassified,,,
325,326,4.670296,unclassified,,,
326,327,36.983932,unclassified,,,
328,329,40.537859,residential,,,
182,330,12.422259,unclassified,,,
330,331,42.433777,unclassified,,,
331,324,43.927741,unclassified,,,
324,272,41.565986,unclassified,,,
332,333,30.810000,unclassified,,,
333,334,41.543363,unclassified,,,
334,323,29.431602,unclassified,,,
323,271,44.312158,unclassified,,,
334,331,47.151388,residential,,,
335,336,44.235744,tertiary,,,
336,337,26.201775,tertiary,,,
337,338,7.638241,tertiary,,,
339,340,19.482886,residential,,,
340,341,73.936134,residential,,,
341,270,7.914014,residential,,,
214,342,29.405692,residential,,,
343,344,10.069401,unclassified,,,
344,345,11.345757,unclassified,,,
345,346,39.894228,unclassified,,,
346,335,2.578420,unclassified,,,
273,325,41.376483,unclassified,,,
325,328,78.999860,unclassified,,,
328,180,34.737150,unclassified,,,
333,347,64.066662,unclassified,,,
347,348,47.899181,unclassified,,,
349,166,51.944471,residential,,,
166,332,43.612287,residential,,,
350,351,11.001697,tertiary,,,
351,352,8.979412,tertiary,,,
352,353,36.889003,tertiary,,,
353,354,7.759760,tertiary,,,
354,355,56.186812,tertiary,,,
355,356,6.336393,tertiary,,,
356,357,43.369769,tertiary,,,
357,358,8.404705,tertiary,,,
358,359,19.256778,tertiary,,,
359,360,34.934751,tertiary,,,
360,361,7.242930,tertiary,,,
362,347,43.571173,unclassified,,,
347,363,33.747215,unclassified,,,
363,364,45.398467,unclassified,,,
365,366,5.908319,residential,,,
366,367,26.506693,residential,,,
367,368,15.229240,residential,,,
368,369,28.720214,residential,,,
369,370,54.490708,residential,,,
370,371,19.882794,residential,,,
371,372,26.058131,residential,,,
372,373,12.611162,residential,,,
373,374,32.289753,residential,,,
374,375,10.288135,residential,,,
375,376,24.202069,residential,,,
376,377,27.074426,residential,,,
377,378,48.662832,residential,,,
378,379,23.078602,residential,,,
379,380,35.980386,residential,,,
380,381,37.885300,residential,,,
381,382,8.367427,residential,,,
383,384,8.544637,unclassified,,,
384,385,39.207209,unclassified,,,
385,386,38.448142,unclassified,,,
386,387,40.196867,unclassified,,,
387,388,42.175964,unclassified,,,
388,186,57.434266,unclassified,,,
389,390,7.260923,unclassified,,,
390,186,43.774433,unclassified,,,
186,391,24.988459,unclassified,,,
391,361,14.695342,unclassified,,,
361,365,7.477685,unclassified,,,
365,392,7.362370,unclassified,,,
392,393,53.450475,unclassified,,,
393,394,31.086865,unclassified,,,
394,168,53.171120,unclassified,,,
168,395,32.500548,unclassified,,,
396,354,37.933746,unclassified,,,
397,398,42.788108,unclassified,,,
398,399,46.668701,unclassified,,,
399,400,7.322312,unclassified,,,
387,401,27.028824,unclassified,,,
401,402,9.754469,unclassified,,,
402,356,6.589608,unclassified,,,
356,403,6.570261,unclassified,,,
403,404,30.534131,unclassified,,,
404,405,32.055123,unclassified,,,
405,397,36.573135,unclassified,,,
397,371,28.991028,unclassified,,,
406,405,61.132772,unclassified,,,
405,369,75.611192,unclassified,,,
407,408,35.645910,unclassified,,,
408,409,34.913232,unclassified,,,
409,410,40.582446,unclassified,,,
167,411,52.948812,residential,,,
412,367,58.812066,unclassified,,,
367,413,35.551419,unclassified,,,
413,414,28.544318,unclassified,,,
414,404,39.856244,unclassified,,,
404,396,62.035687,unclassified,,,
396,406,31.010644,unclassified,,,
406,415,34.840340,unclassified,,,
415,416,6.946060,unclassified,,,
369,417,71.530613,unclassified,,,
417,418,37.936920,unclassified,,,
418,170,50.766679,unclassified,,,
170,419,60.663490,unclassified,,,
370,420,93.895928,unclassified,,,
420,218,42.537215,unclassified,,,
393,412,30.540042,unclassified,,,
412,417,31.029345,unclassified,,,
417,420,34.488942,unclassified,,,
420,421,48.924159,unclassified,,,
421,422,12.438984,unclassified,,,
14,423,112.206069,residential,,,
12,424,112.579349,residential,,,
424,425,49.782325,residential,,,
425,176,46.296339,residential,,,
176,426,37.616278,residential,,,
426,377,11.541853,residential,,,
377,427,6.857954,residential,,,
427,428,8.309359,residential,,,
428,429,15.066509,residential,,,
429,430,29.435950,residential,,,
430,431,8.244684,residential,,,
432,433,112.075162,residential,,,
434,435,10.452256,tertiary,yes,,
435,436,24.153946,tertiary,yes,,
436,437,28.633606,tertiary,yes,,
437,438,44.863689,tertiary,yes,,
438,410,82.082650,tertiary,yes,,
410,439,66.834539,tertiary,yes,,
439,440,13.430820,tertiary,yes,,
440,441,12.362589,tertiary,yes,,
441,442,13.337946,tertiary,yes,,
442,443,44.243995,tertiary,yes,,
443,372,47.837224,tertiary,yes,,
372,172,53.140195,tertiary,yes,,
172,421,38.751072,tertiary,yes,,
421,444,47.956199,tertiary,yes,,
444,445,117.003761,tertiary,yes,,
445,446,38.496299,tertiary,yes,,
446,260,19.974543,tertiary,yes,,
260,447,44.766176,tertiary,yes,,
447,342,11.579958,tertiary,yes,,
342,448,11.969682,tertiary,yes,,
448,449,57.267883,tertiary,yes,,
450,10,112.299122,residential,,,
11,451,32.605239,unclassified,,,
452,15,51.199728,unclassified,,,
15,453,111.887259,unclassified,,,
453,454,50.256243,unclassified,,,
454,455,30.933097,unclassified,,,
455,177,19.038783,unclassified,,,
177,456,14.307345,unclassified,,,
456,379,19.554928,unclassified,,,
379,457,22.694383,unclassified,,,
457,458,24.171406,unclassified,,,
458,459,9.206929,unclassified,,,
380,460,49.257480,unclassified,,,
461,462,9.011050,unclassified,,,
462,463,31.482879,unclassified,,,
463,464,6.910308,unclassified,,,
464,465,31.542077,unclassified,,,
465,466,30.042464,unclassified,,,
466,467,66.461866,unclassified,,,
467,468,36.608472,unclassified,,,
468,469,27.333125,unclassified,,,
469,470,25.511966,unclassified,,,
470,471,12.107221,unclassified,,,
455,472,77.996643,unclassified,,,
473,474,33.795573,unclassified,,,
474,475,63.839482,unclassified,,,
475,476,19.942914,unclassified,,,
476,477,50.905779,unclassified,,,
477,478,28.986651,unclassified,,,
478,479,37.992489,unclassified,,,
479,480,44.048998,unclassified,,,
480,481,8.800216,unclassified,,,
482,483,26.296441,residential,,,
484,485,35.953103,residential,,,
485,486,13.946455,residential,,,
486,487,10.811113,residential,,,
487,482,2.068245,residential,,,
482,488,11.076978,residential,,,
489,490,24.774648,residential,,,
490,491,38.199088,residential,,,
492,493,21.375017,residential,,,
493,494,20.952870,residential,,,
494,495,13.220148,residential,,,
495,496,16.478008,residential,,,
496,497,24.289468,residential,,,
497,498,5.387588,residential,,,
498,499,24.876816,residential,,,
499,500,14.032130,residential,,,
500,501,28.105243,residential,,,
502,489,20.119826,residential,,,
489,503,39.326704,residential,,,
504,505,34.859848,residential,,,
505,506,14.088976,residential,,,
506,507,43.138886,residential,,,
507,508,9.207097,residential,,,
508,501,13.228600,residential,,,
501,509,17.125063,residential,,,
509,510,8.907474,residential,,,
510,511,16.966034,residential,,,
495,512,40.036065,residential,,,
