nodeId,x,y
314,139.715779,35.710000
315,139.715677,35.709581
316,139.715501,35.710000
317,139.715445,35.709622
318,139.715222,35.710000
319,139.715211,35.709965
320,139.715138,35.709676
321,139.714114,35.710000
322,139.714084,35.709850
323,139.721366,35.707005
324,139.721023,35.706643
325,139.720696,35.706255
326,139.720677,35.706216
327,139.720672,35.705883
328,139.721562,35.706168
329,139.721502,35.705806
330,139.721922,35.706382
331,139.721476,35.706502
332,139.722384,35.706615
333,139.722077,35.706735
334,139.721664,35.706898
335,139.721073,35.709505
336,139.721063,35.709106
337,139.721057,35.708870
338,139.721048,35.708802
339,139.720229,35.707970
340,139.720405,35.707869
341,139.721060,35.707470
342,139.721797,35.708465
343,139.721342,35.710000
344,139.721363,35.709911
345,139.721316,35.709816
346,139.721101,35.709502
347,139.722372,35.707260
348,139.722481,35.707682
349,139.723333,35.706238
350,139.727160,35.706046
351,139.727038,35.706053
352,139.726940,35.706061
353,139.726533,35.706088
354,139.726449,35.706097
355,139.725830,35.706138
356,139.725760,35.706142
357,139.725282,35.706170
358,139.725189,35.706179
359,139.724978,35.706199
360,139.724593,35.706223
361,139.724513,35.706228
362,139.722779,35.707049
363,139.722034,35.707388
364,139.722143,35.707788
365,139.724483,35.706290
366,139.724518,35.706335
367,139.724652,35.706548
368,139.724736,35.706667
369,139.724997,35.706815
370,139.725474,35.707114
371,139.725607,35.707256
372,139.725719,35.707473
373,139.725790,35.707571
374,139.725917,35.707843
375,139.725959,35.707929
376,139.726058,35.708131
377,139.726169,35.708358
378,139.726296,35.708784
379,139.726347,35.708988
380,139.726425,35.709306
381,139.726514,35.709640
382,139.726533,35.709713
383,139.727014,35.705667
384,139.726920,35.705676
385,139.726490,35.705716
386,139.726066,35.705739
387,139.725623,35.705770
388,139.725161,35.705818
389,139.724515,35.705415
390,139.724524,35.705480
391,139.724550,35.706099
392,139.724427,35.706338
393,139.723931,35.706600
394,139.723634,35.706741
395,139.722766,35.707012
396,139.726479,35.706438
397,139.725856,35.707092
398,139.726327,35.707057
399,139.726841,35.707020
400,139.726922,35.707014
401,139.725699,35.706005
402,139.725723,35.706091
403,139.725766,35.706201
404,139.725795,35.706476
405,139.725830,35.706763
406,139.726503,35.706717
407,139.727613,35.706342
408,139.727713,35.706653
409,139.727808,35.706958
410,139.727899,35.707316
411,139.723493,35.706500
412,139.724106,35.706835
413,139.725039,35.706496
414,139.725355,35.706493
415,139.726887,35.706692
416,139.726963,35.706687
417,139.724275,35.707078
418,139.723894,35.707221
419,139.722751,35.707595
420,139.724475,35.707343
421,139.724751,35.707722
422,139.724795,35.707828
423,139.724835,35.709148
424,139.724715,35.708897
425,139.725221,35.708722
426,139.726076,35.708429
427,139.726243,35.708342
428,139.726334,35.708333
429,139.726500,35.708340
430,139.726825,35.708327
431,139.726916,35.708323
432,139.724529,35.708533
433,139.723378,35.708906
434,139.730000,35.707318
435,139.729884,35.707318
436,139.729618,35.707316
437,139.729301,35.707314
438,139.728806,35.707299
439,139.727163,35.707364
440,139.727015,35.707375
441,139.726879,35.707382
442,139.726732,35.707394
443,139.726245,35.707433
444,139.724247,35.707856
445,139.723015,35.708175
446,139.722606,35.708272
447,139.721919,35.708433
448,139.721673,35.708504
449,139.721085,35.708694
450,139.724623,35.708717
451,139.723146,35.709223
452,139.723287,35.709955
453,139.724963,35.709414
454,139.725479,35.709246
455,139.725796,35.709142
456,139.726136,35.709027
457,139.726592,35.708945
458,139.726849,35.708887
459,139.726947,35.708865
460,139.726961,35.709230
461,139.727068,35.708917
462,139.727162,35.708891
463,139.727493,35.708802
464,139.727565,35.708783
465,139.727898,35.708697
466,139.728213,35.708612
467,139.728910,35.708424
468,139.729295,35.708322
469,139.729585,35.708253
470,139.729866,35.708242
471,139.730000,35.708246
472,139.726017,35.709821
473,139.730000,35.708981
474,139.729848,35.709259
475,139.729174,35.709087
476,139.728955,35.709101
477,139.728394,35.709137
478,139.728075,35.709159
479,139.727656,35.709187
480,139.727171,35.709217
481,139.727074,35.709225
482,139.717598,35.708403
483,139.717364,35.708263
484,139.718279,35.708368
485,139.717886,35.708412
486,139.717734,35.708433
487,139.717617,35.708414
488,139.717662,35.708318
489,139.717611,35.708647
490,139.717467,35.708836
491,139.717062,35.708739
492,139.716570,35.709510
493,139.716806,35.709520
494,139.717037,35.709507
495,139.717183,35.709499
496,139.717365,35.709488
497,139.717633,35.709496
498,139.717692,35.709490
499,139.717965,35.709468
